0xf9cc437514d852d33ee434c7dee2296e36c78cf5b8a6ce8f98e9620a97f304db	Crypto_Price     	Crypto_Price_XRP                 	0.7274	Will the price of XRP be between $3.12 and $3.15 on September 18 at 8PM ET?
0xfa69962f097d1de8cb8d3c7ef803015332157c49e2f8988cf33e56983802b177	Sports_Football  	Sports_Football_NFL              	0.5927	Astros vs. Orioles: O/U 9.5
0x844d7088a6b7a918709f5761b980095b61e0c3987c0b58786e5d8ba98eb01eac	Sports_Individual	Sports_Racing_Motorsport         	0.5563	Will Brad Keselowski win the NASCAR Quaker State 400?
0x2b713c6719057eea6bcd535c6093d3f67c357d392ddf8a6cece7ef10e1a71142	Crypto_Price     	Crypto_Price_Ethereum            	0.5694	Will Elon tweet 325-349 times Dec 13-20?
0x72074e3d16a787b756309f02ea6c3352e9880653f4acc07ee045c3faeba67821	Politics_US      	Politics_US_Congress             	0.5908	Senate: Will a Democrat (Warnock) or Republican (Walker) win in Georgia?
0xa988c5bfa79e9b5c14cba8f9ad3dbb7e0a8989059ff4eedeb0aa7019070e2107	Sports_Basketball	Sports_Basketball_NBA            	0.5785	NBA: Who will win the Pelicans vs. Rockets, scheduled for February 6 (7 PM ET)?
0x3d4c8447d50307f2ec84cad7ac753106269ca1528cc602fb883431f8161e1707	Sports_Football  	Sports_Football_College          	0.6308	Will Georgia win the 2026 College Football National Championship?
0xb0e76d0bcc133aef9e343fbe2d02aa9a0a253812ce04cb67e02592537251ce22	Sports_Individual	Sports_Esports                   	0.5669	Over 212.5
0x0141904110af2c258299e2608a9f9af98dffd049385395cc3bdc9e7692e04788	Crypto_Price     	Crypto_Price_Solana              	0.6846	Will the price of Solana be above $206 on August 30 at 12PM ET?
0x6646e8002fc3d448d86a31b8e3dc17adf35cf245637124449136f1debadf0f7b	Sports_Soccer    	Sports_Soccer_Premier_League     	0.6884	Will Manchester City beat Wanderers?
0xc323bee5099d25cda33ef2e0b13518f5e0f4c47957fa9b6cd78c1fded00bdd56	Sports_Football  	Sports_Football_College          	0.6485	Will Nebraska be the #1 overall seed in the 2025-26 College Football Playoff?
0x4531780cc51a5efbf0754f316f8e563d7cacec35942acc511863c7b35bd42eed	Sports_Soccer    	Sports_Soccer_Americas           	0.5861	Will Argentina win on 2025-09-09?
0xc60076b8a299000e668c354b5ef7f180253be03d6584bcd3657ed685cdd440be	Politics_World   	Politics_World_Elections         	0.5442	Will FrP win the most seats in the next Norwegian parliamentary election?
0x29758be5859e3edee2469b1a1ae641533c5b648e83d0a2a035565d40d42c7fd1	Sports_Individual	Sports_Golf                      	0.5196	Will Powell say "Thank you" 3+ times during Princeton Commencement on May 25?
0xf4556989fa3e3d371045fa70683294b1dffd031bd0465ddf5f82dfc19627d42e	Crypto_Price     	Crypto_Price_Bitcoin             	0.6769	Bitcoin Up or Down - October 16, 5:30PM-5:45PM ET
0x73fcd801b3b581fe97a0ee8893bac41bf86cff67c547bf500fd78330840af51e	Crypto_Price     	Crypto_Price_XRP                 	0.7070	Will the price of XRP be above $3.12 on September 14 at 12PM ET?
0xf99acf85c5bfaf276e1fbfaf0127159e4891b63cb2f4a085c223ccb761728538	Sports_Soccer    	Sports_Soccer_Other              	0.6293	Will Olympique de Marseille vs. Toulouse FC end in a draw?
0xc5fe4ca5efe7220a0611b6f90707662a55bca2dfe243e070035331dd277958eb	Sports_Soccer    	Sports_Soccer_Americas           	0.6230	MLS: Will D.C. United beat Charlotte FC?
0xedc05d132a676f9d2ce924fe485c529a9f06e21d0eea96763c81d3b1ee9ceb3e	Crypto_Price     	Crypto_Price_Bitcoin             	0.6774	Bitcoin Up or Down - August 6, 7AM ET
0x4d0fc526ec2012d77590399da3c79304288d3f08e7dcbbc2cf5bb4f735998ccd	Sports_Individual	Sports_Hockey_NHL                	0.5900	NHL: Will the Lightning beat the Islanders by more than 1.5 goals in their March 27, 2:00 PM ET matchup?
0x3b346e262013bbc9e804869f9bc6516541ec5fc7d2235451b88676c4f0614618	Politics_World   	Politics_World_War_Conflict      	0.5330	Will Trump say "World War" during Fort Bragg remarks on June 10?
0x91c49d3250de3d205e19001b633842c02bda43a3c7fb1396dd75c8af8eea01f2	Crypto_Price     	Crypto_Price_Solana              	0.6980	Will the price of Solana be above $208 on September 8 at 8AM ET?
0x3e9780097017a773d10941080f9d3264bfd71634e0c4da35e6717f07af1ba04d	Politics_World   	Politics_World_Diplomacy_Trade   	0.5436	Will Trump say "Deport" during Pittsburgh rally on May 30?
0xd2939f049d4329d23d3ecb00b90a63bde1307f1b7a363fb7775bc04793437808	Sports_Individual	Sports_Golf                      	0.5974	Will Tommy Fleetwood win Gold in Men's Golf?
0xceeb136e0a129c2ebf157fb3159797351c0c78455d8582afcf4b6d2d8a29c4f7	Sports_Football  	Sports_Football_NFL              	0.5751	Wyoming Cowboys vs. UT Arlington Mavericks (W)
0x003e6ffdf25f45a8d5679831551658e1b54094187f552fc6ef4b26bca404c971	Politics_World   	Politics_World_Elections         	0.6022	Will Michelle Bolsonaro qualify for Brazil's presidential runoff?
0xe9d2b702bf9c168200af0723327e8ef74afacf3131161c3d001ad72e778acb7f	Crypto_Price     	Crypto_Price_XRP                 	0.6886	Will the price of XRP be above $3.00 on September 25?
0x7e0b063616776694e774738b8fb8e8fd9c5cf4cc697a03476625c0cca28e3397	Sports_Football  	Sports_Football_NFL              	0.5731	Hawks vs. Knicks
0xbe831a2ae1b3c0d2b4f3bc1c85e9b98a8afb4d821099f99a498de3dfe1510f4f	Crypto_Price     	Crypto_Price_Bitcoin             	0.6982	Will the price of Bitcoin be between $112,000 and $112,500 on September 24 at 12PM ET?
0x07c8dc41b6a764a5478b87820f3d54a8bb6f05e54455a377caad987afff83f44	Politics_US      	Politics_US_Trump                	0.5429	Epstein phonebook only document released today?
0x2b91d097e074236c64a0c66c86487d76ff608c80cffe93268600cf0245976075	Crypto_Price     	Crypto_Price_Ethereum            	0.7003	Will the price of Ethereum be above $4,525 on September 16 at 4PM ET?
0x8d5ca2cf3adaddf8a3c59e9b5eeef1d008edf9613182cafa137bf9a823e0e0fc	Sports_Individual	Sports_Esports                   	0.6603	League of Legends: Top Esports vs. JD Gaming
0x777b4637013acfb1302fc20bd304c35fef92958046e3a0880ab64f6b69c1286d	Entertainment    	Entertainment_Movies             	0.4654	Will Chloé Zhao be nominated for Best Director at the 98th Academy Awards?
0x5cd8e90335dd795381d97af8ab320d34687d43833893a33381ac08b18494c2f0	Crypto_Price     	Crypto_Price_Ethereum            	0.5638	Will Elon tweet 150-174 times October 18-25?
0x16811dc0ec78a455448eb060aaceb40d1533420b3a9db660eb339cac925ff9a5	Crypto_Price     	Crypto_Price_Bitcoin             	0.6847	Bitcoin Up or Down on October 18?
0x5d5ef318479346d79fb4348a05a5eb07838080c8720c55ee0369f0914a2863a9	Sports_Individual	Sports_Esports                   	0.6689	LoL: Conviction vs Estral Esports — Game 3 Winner
0xdd630c18fbe31d60b46a7dbe57bda234bd8c39ff6f2b02a85a7c46e82eaa82cd	Tech             	Tech_BigTech                     	0.5308	Will Brian Armstrong appear on the UpOnly podcast by December 31?
0x1ecdca73dded2965a28a3d60fc646fa463695acb0a1c76dbc1b0d942d6814e07	Sports_Basketball	Sports_Basketball_WNBA           	0.6161	Will Satou Sabally win the 2025 WNBA MVP?
0x2181b6c4d303c15c35028fbeb8b3d1dce6cc30c5ad7d9f6324439c89c2968bb1	Sports_Soccer    	Sports_Soccer_Premier_League     	0.6872	Will Everton vs. West Ham end in a draw?
0xbd8b722b8e768d7eb2b3014d6530d9886c4df14d5ccf69f7479f77c5d0e7e494	Sports_Basketball	Sports_Basketball_NBA            	0.6260	Heat vs. Warriors
0x1af8d79861c1d8ce19fba102a419460dec9412ee4028b33c54fc4e209192f723	Crypto_Price     	Crypto_Price_Bitcoin             	0.6833	Bitcoin Up or Down - November 18, 11AM ET
0xcfd47799b697d06e26e5710316897151105064ffaaca170b8df8cc2689318a80	Crypto_Price     	Crypto_Price_XRP                 	0.5954	Netflix (NFLX) Up or Down on November 3?
0x3102e0092dc2afc606e542cf0b77df0fae23a17aa671a740c0d8384d7965283b	Sports_Soccer    	Sports_Soccer_Premier_League     	0.5767	Bangladesh T20 Series: Bangladesh vs West Indies (Oct 27)
0x31f61a102a2888e3c0c8d15b79d05a1e5469fb3cb6cc627cb248b637a8dc99c6	Sports_Soccer    	Sports_Soccer_Americas           	0.5656	MLB: New York Mets vs. San Diego Padres 2023-04-10
0xb96ef5b0b0175ed86de4df291a3ddb6a739f47d191eb3125f7e52352a6b35fd0	Crypto_Price     	Crypto_Price_XRP                 	0.5792	Will Trump tweet 100-109 times Nov 1-8?
0xd68d70a2d6313a827086dddf60cd7540a5b9c71118cac5127d541c438509baf5	Sports_Individual	Sports_Hockey_NHL                	0.5970	Spread: Utah (-1.5)
0x3ff7d3cb813324dbfe4e722413a1c5270a97cfc529cb25611e37dec1132520f0	Crypto_Price     	Crypto_Price_Bitcoin             	0.6960	Will the price of $BTC be above $53,000 on February 1st, 2022?
0x66e9d854b2d5f24a4860640ae8e6c1abdce95333af2e5e786a7e45b2058df683	Sports_Soccer    	Sports_Soccer_Other              	0.6460	Will Gil Vicente FC vs. CD Santa Clara end in a draw?
0xcdf5449a11c5a7aa069db3a57853e4f6728fab0d5a08826ad36672486c52503d	Crypto_Price     	Crypto_Price_Ethereum            	0.7315	Ethereum Up or Down - October 10, 11:45AM-12:00PM ET
0xecc6ee32ff50cb814c1212a2f7bba06b3c4264a40739185bd03dd0c1974b4ac9	Sports_Soccer    	Sports_Soccer_Other              	0.6328	Torino FC vs. Como 1907: O/U 2.5
0xa4f01a9befa1a17ba209cb956f442c860aff18737cc9c446f78fb02de383c731	Sports_Football  	Sports_Football_College          	0.5883	San Jose State vs. Nevada Wolf Pack: O/U 49.5
0x523588cd1f7abe3b7dfd4d6de8c9096b725b0d00e120c1fc32878b7c9d6663ad	Sports_Soccer    	Sports_Soccer_Americas           	0.6086	Will Club Santos Laguna win on 2025-11-09?
0xd28e5f45ecf22a4b32a36c69fb881bbb7af2a902d63a258916cf4b0ef84cf97e	Crypto_Price     	Crypto_Price_Solana              	0.7059	Will the price of Solana be greater than $258 on September 14 at 8AM ET?
0x4df11c6566a3cb5b4bbdd6c2b31651f81bd03ef0cc599a3ae1474e40331a6ec6	Sports_Individual	Sports_Hockey_NHL                	0.6271	Devils vs. Avalanche: O/U 6.5
0x791a443699163c2bdfd7bfec401261f5d3e631b51cd9e0646ad0a029ecfbeb6b	Crypto_Price     	Crypto_Price_Solana              	0.7180	Solana Up or Down - July 4, 8PM ET
0x9b79cbd68cd15946f7f891191de9c1cfeeca7fc905079422529bbda84e17f6e5	Crypto_Price     	Crypto_Price_Bitcoin             	0.6832	Bitcoin Up or Down - July 23, 5PM ET
0xfded8af2c2dde99ddd79ddad9a6225e065fb8f684a18bb4072ff32edd4f1703b	Sports_Individual	Sports_Racing_Motorsport         	0.5797	Will Lando Norris win the 2025 Australian Grand Prix?
0x918aa60447412caf05d843dcf0205c1ad67d7a71bc8b9493d7c3e8281736f9de	Sports_Soccer    	Sports_Soccer_Americas           	0.5946	Will São Paulo FC win on 2025-11-05?
0xaad7f458b40e3c399d4bbd9d10ae9f2ed6fcd991631b2901c1f211e3b14092e5	Crypto_Price     	Crypto_Price_Ethereum            	0.7306	Ethereum Up or Down - November 15, 12:15PM-12:30PM ET
0xc9ff8466e5d10951815f2556232f970dd5b19caeaab2966fa9ab33e9e7c31cfd	Sports_Basketball	Sports_Basketball_NBA            	0.5793	Over 217.5

# model: BAAI/bge-large-en-v1.5
# speed: 41.37 items/sec (200 items in 4.83s)
